Original_Customer_Message,AI_Reasoning,Conversation_Stage,Decision_Type,AI_Draft,Setter_Edit,Edit_Reason,Outcome,Date
I have not,"They’re clarifying they haven’t done something yet, likely not booked or tried the service",Follow-up,,"No worries! If you’ve got 10–15 minutes this week, I’d love to hop on a quick call to walk you through everything and see how we can get you started—what day/time works best? 😊","No worries! If you’ve got 10–15 minutes this week, I’d love to hop on a quick call to walk you through everything and see how we can get you started—what day/time works best?",,,2025-12-11 02:46:54
Scrappy contact. Thin contact.,They’re noting our back-and-forth has been spotty and want clearer info,"Early, pre-booking",,I hear you—let’s make this simpler with a quick 10–15-minute call this week to get everything lined up. What day/time works best for you? 😊,"I hear you, let’s make this simpler with a quick 10–15-minute call this week to get everything lined up. What day/time works best for you?",,,2025-12-11 15:09:36
"Pretty full on is a good way of saying it!
Probably near the end of Q1.","Chose Exploration as the lead is sharing context but hasn’t clearly identified their current challenge, goal, or timing yet. Using Clarify helps dig into what “near the end of Q1” means for their golf, which could reveal pain points or goals and move the conversation forward.

⸻",Exploration,CLARIFY,"Sounds like it’s been a big start to the year for you. When you say “near the end of Q1,” was there something specific going on with your game around that time?","FINAL RESPONSE: APPROVE
---
EDIT REASON: AI is correct",AI is correct,,2025-12-22T23:17:04.263Z
Hi,"The lead has just opened the conversation with a simple greeting. This indicates the Awareness stage—they haven’t shared any goals, pains, or context yet. Clarify is optimal here to gently open up the conversation and find out what’s brought them in. Next, I’ll look to identify their main motivation or challenge so we can move forward.
⸻",Awareness,CLARIFY,G’day! Thanks for reaching out. What’s prompted you to connect today?,"FINAL RESPONSE: Hi, how long have you been playing golf for?
---
EDIT REASON: As the person didnt give you any real input, lead the conversation by following the regular conversation flow and qualifying them to see if they would be a good potential client","As the person didnt give you any real input, lead the conversation by following the regular conversation flow and qualifying them to see if they would be a good potential client",,2025-12-23T13:27:46.392Z
Hi,"The lead has just opened the conversation with a simple greeting. This indicates the Awareness stage—they haven’t shared any goals, pains, or context yet. Clarify is optimal here to gently open up the conversation and find out what’s brought them in. Next, I’ll look to identify their main motivation or challenge so we can move forward.
⸻",Awareness,CLARIFY,G’day! Thanks for reaching out. What’s prompted you to connect today?,"FINAL RESPONSE: Hi, how long have you been playing golf for?
---
EDIT REASON: As the person didnt give you any real input, lead the conversation by following the regular conversation flow and qualifying them to see if they would be a good potential client","As the person didnt give you any real input, lead the conversation by following the regular conversation flow and qualifying them to see if they would be a good potential client",,2025-12-23T13:27:46.392Z
Hi,"The lead has just opened the conversation with a simple greeting. This indicates the Awareness stage—they haven’t shared any goals, pains, or context yet. Clarify is optimal here to gently open up the conversation and find out what’s brought them in. Next, I’ll look to identify their main motivation or challenge so we can move forward.
⸻",Awareness,CLARIFY,G’day! Thanks for reaching out. What’s prompted you to connect today?,"FINAL RESPONSE: Hi, how long have you been playing golf for?
---
EDIT REASON: As the person didnt give you any real input, lead the conversation by following the regular conversation flow and qualifying them to see if they would be a good potential client","As the person didnt give you any real input, lead the conversation by following the regular conversation flow and qualifying them to see if they would be a good potential client",,2025-12-23T13:27:46.392Z
Hi,"The lead has just opened the conversation with a simple greeting. This indicates the Awareness stage—they haven’t shared any goals, pains, or context yet. Clarify is optimal here to gently open up the conversation and find out what’s brought them in. Next, I’ll look to identify their main motivation or challenge so we can move forward.
⸻",Awareness,CLARIFY,G’day! Thanks for reaching out. What’s prompted you to connect today?,"FINAL RESPONSE: Hi, how long have you been playing golf for?
---
EDIT REASON: As the person didnt give you any real input, lead the conversation by following the regular conversation flow and qualifying them to see if they would be a good potential client","As the person didnt give you any real input, lead the conversation by following the regular conversation flow and qualifying them to see if they would be a good potential client",,2025-12-23T13:27:46.392Z
Hi,"The lead has just opened the conversation with a simple greeting. This indicates the Awareness stage—they haven’t shared any goals, pains, or context yet. Clarify is optimal here to gently open up the conversation and find out what’s brought them in. Next, I’ll look to identify their main motivation or challenge so we can move forward.
⸻",Awareness,CLARIFY,G’day! Thanks for reaching out. What’s prompted you to connect today?,"FINAL RESPONSE: Hi, how long have you been playing golf for?
---
EDIT REASON: As the person didnt give you any real input, lead the conversation by following the regular conversation flow and qualifying them to see if they would be a good potential client","As the person didnt give you any real input, lead the conversation by following the regular conversation flow and qualifying them to see if they would be a good potential client",,2025-12-23T13:27:46.392Z
Hi,"The lead has just opened with a simple greeting and hasn’t provided any context or detail yet. The Awareness stage fits best, as we don’t know their experience, goals, or challenges. Clarify is the optimal decision type here, following successful past edits: it opens the conversation and gently starts qualifying them. Next, I’ll look for key details about their golf journey to move the chat forward.

⸻",Awareness,CLARIFY,"Hi, how long have you been playing golf for?","FINAL RESPONSE: APPROVE
---
EDIT REASON:",,,2025-12-23T14:03:15.161Z
Hi,"The lead has just opened with a simple greeting and hasn’t provided any context or detail yet. The Awareness stage fits best, as we don’t know their experience, goals, or challenges. Clarify is the optimal decision type here, following successful past edits: it opens the conversation and gently starts qualifying them. Next, I’ll look for key details about their golf journey to move the chat forward.

⸻",Awareness,CLARIFY,"Hi, how long have you been playing golf for?","FINAL RESPONSE: APPROVE
---
EDIT REASON:",,,2025-12-23T14:03:15.161Z
About 3 years,"The lead has now shared their playing duration, which shifts us from Awareness to Exploration — we know their experience, but not yet their goals, pains, or motivation. Clarify is the optimal decision type to gently uncover what’s driving their interest in golf. Next, I’ll look for their main motivation or any challenges they’re facing so we can guide the chat toward priority or pain points.

⸻",Exploration,CLARIFY,Three years is a solid run. What made you want to start playing in the first place?,"FINAL RESPONSE: Nice, three years gives you a good feel for the game.
---
EDIT REASON: We want to acknowledge first what he said about playing the game for 3 years to be natural and conversational",We want to acknowledge first what he said about playing the game for 3 years to be natural and conversational,,2025-12-23T14:24:57.338Z
About 3 years,"The lead has now shared their playing duration, which shifts us from Awareness to Exploration — we know their experience, but not yet their goals, pains, or motivation. Clarify is the optimal decision type to gently uncover what’s driving their interest in golf. Next, I’ll look for their main motivation or any challenges they’re facing so we can guide the chat toward priority or pain points.

⸻",Exploration,CLARIFY,Three years is a solid run. What made you want to start playing in the first place?,"FINAL RESPONSE: Curious what’s the #1 thing you’d most want to improve over the next few months distance, consistency, or being able to play without those nagging aches?
---
EDIT REASON: We want to have a better understanding of his goals. We cant move forward in the conversation process to booking a  call with a prospect before clearly understanding and identifying his goals first.",We want to have a better understanding of his goals. We cant move forward in the conversation process to booking a  call with a prospect before clearly understanding and identifying his goals first.,,2025-12-23T14:24:57.338Z
left hip,"The lead has introduced a specific body area (left hip), but hasn't described if it's pain, stiffness, or another issue. Exploration is the right stage as we're still uncovering what’s actually going on and how it impacts their golf. Clarify is optimal here—to gently prompt more detail about their experience so we can link it to golf performance and steer toward deeper pain or goals.

⸻",Exploration,CLARIFY,"Alright, thanks for sharing that. When you mention your left hip, is it more a mobility issue, pain, or something else holding you back on the course?","FINAL RESPONSE: Okay mate, and when did you start noticing the left hip tightening up, and hows that been showing up on the course?
---
EDIT REASON: Acknowledge always first a simple Okay mate is fine. We can use mate once in awhile if they are a male but never if they are female. ""When did you start noticing the left hip tightening up"" This part does two important things:
	•	It gently moves the lead from a label (“left hip tight”) to a timeline
	•	It helps them start reflecting, not just answering

Instead of asking what’s wrong, we’re asking when it began, which:
	•	Feels safer
	•	Feels diagnostic, not salesy
	•	Positions Shaun as a coach trying to understand patterns

This is classic NEPQ problem-awareness, not interrogation.

⸻

3.⁠ ⁠“…and how has that been showing up for you on the course?” — impact without pressure

This is the most important part of the sentence.

We deliberately say “showing up” instead of:
	•	“causing”
	•	“affecting badly”
	•	“holding you back”

Why?
	•	“Showing up” is neutral and non-judgmental
	•	It invites observation, not defense
	•	It lets them connect the dots between body → performance

We’re guiding them to self-discover:

“Oh yeah… this actually does affect my swing / consistency / comfort.”

That’s far more powerful than us telling them.","Acknowledge always first a simple Okay mate is fine. We can use mate once in awhile if they are a male but never if they are female. ""When did you start noticing the left hip tightening up"" This part does two important things:
	•	It gently moves the lead from a label (“left hip tight”) to a timeline
	•	It helps them start reflecting, not just answering

Instead of asking what’s wrong, we’re asking when it began, which:
	•	Feels safer
	•	Feels diagnostic, not salesy
	•	Positions Shaun as a coach trying to understand patterns

This is classic NEPQ problem-awareness, not interrogation.

⸻

3.⁠ ⁠“…and how has that been showing up for you on the course?” — impact without pressure

This is the most important part of the sentence.

We deliberately say “showing up” instead of:
	•	“causing”
	•	“affecting badly”
	•	“holding you back”

Why?
	•	“Showing up” is neutral and non-judgmental
	•	It invites observation, not defense
	•	It lets them connect the dots between body → performance

We’re guiding them to self-discover:

“Oh yeah… this actually does affect my swing / consistency / comfort.”

That’s far more powerful than us telling them.",,2025-12-23T14:40:41.083Z
about 6 months i would say. my swings never really been the same since,"Stage is Exploration: The lead has now told me how long they've been playing (6 months) and hinted at a change in performance (“my swing’s never really been the same since”). We’re still uncovering specifics around what’s changed and how it affects them, so we’re not at Priority yet.",Exploration,EXPLORE DEEPER,"Thanks for sharing that. When you say your swing’s never been the same, what have you noticed feels different or off compared to before?","FINAL RESPONSE: Yeah makes sense, six months is usually when compensations start to creep in without you realizing. When you say your swing hasn’t been the same since then, what sort of things have you noticed while youre out there?
---
EDIT REASON: We want to first acknowledge what he said by first coming off as an expert here and we want him to ellaboarate on the pain. When people send short responses like this we we always want to ask questions that allows them to elloborate, or else we run the risk of going down the conversation sequence and pitching the call when they havent full opened up yet.","We want to first acknowledge what he said by first coming off as an expert here and we want him to ellaboarate on the pain. When people send short responses like this we we always want to ask questions that allows them to elloborate, or else we run the risk of going down the conversation sequence and pitching the call when they havent full opened up yet.",,2025-12-23T15:01:04.212Z
about 6 months i would say. my swings never really been the same since,"Stage is Exploration: The lead has now told me how long they've been playing (6 months) and hinted at a change in performance (“my swing’s never really been the same since”). We’re still uncovering specifics around what’s changed and how it affects them, so we’re not at Priority yet.",Exploration,EXPLORE DEEPER,"Thanks for sharing that. When you say your swing’s never been the same, what have you noticed feels different or off compared to before?","FINAL RESPONSE: Yeah makes sense, six months is usually when compensations start to creep in without you realizing. When you say your swing hasn’t been the same since then, what sort of things have you noticed while youre out there?
---
EDIT REASON: We want to first acknowledge what he said by first coming off as an expert here and we want him to ellaboarate on the pain. When people send short responses like this we we always want to ask questions that allows them to elloborate, or else we run the risk of going down the conversation sequence and pitching the call when they havent full opened up yet.","We want to first acknowledge what he said by first coming off as an expert here and we want him to ellaboarate on the pain. When people send short responses like this we we always want to ask questions that allows them to elloborate, or else we run the risk of going down the conversation sequence and pitching the call when they havent full opened up yet.",,2025-12-23T15:01:04.212Z
left hip,"The lead has introduced a specific body area (left hip), but hasn't described if it's pain, stiffness, or another issue. Exploration is the right stage as we're still uncovering what’s actually going on and how it impacts their golf. Clarify is optimal here—to gently prompt more detail about their experience so we can link it to golf performance and steer toward deeper pain or goals.

⸻",Exploration,CLARIFY,"Alright, thanks for sharing that. When you mention your left hip, is it more a mobility issue, pain, or something else holding you back on the course?","FINAL RESPONSE: Okay mate, and when did you start noticing the left hip tightening up, and hows that been showing up on the course?
---
EDIT REASON: Acknowledge always first a simple Okay mate is fine. We can use mate once in awhile if they are a male but never if they are female. ""When did you start noticing the left hip tightening up"" This part does two important things:
	•	It gently moves the lead from a label (“left hip tight”) to a timeline
	•	It helps them start reflecting, not just answering

Instead of asking what’s wrong, we’re asking when it began, which:
	•	Feels safer
	•	Feels diagnostic, not salesy
	•	Positions Shaun as a coach trying to understand patterns

This is classic NEPQ problem-awareness, not interrogation.

⸻

3.⁠ ⁠“…and how has that been showing up for you on the course?” — impact without pressure

This is the most important part of the sentence.

We deliberately say “showing up” instead of:
	•	“causing”
	•	“affecting badly”
	•	“holding you back”

Why?
	•	“Showing up” is neutral and non-judgmental
	•	It invites observation, not defense
	•	It lets them connect the dots between body → performance

We’re guiding them to self-discover:

“Oh yeah… this actually does affect my swing / consistency / comfort.”

That’s far more powerful than us telling them.","Acknowledge always first a simple Okay mate is fine. We can use mate once in awhile if they are a male but never if they are female. ""When did you start noticing the left hip tightening up"" This part does two important things:
	•	It gently moves the lead from a label (“left hip tight”) to a timeline
	•	It helps them start reflecting, not just answering

Instead of asking what’s wrong, we’re asking when it began, which:
	•	Feels safer
	•	Feels diagnostic, not salesy
	•	Positions Shaun as a coach trying to understand patterns

This is classic NEPQ problem-awareness, not interrogation.

⸻

3.⁠ ⁠“…and how has that been showing up for you on the course?” — impact without pressure

This is the most important part of the sentence.

We deliberately say “showing up” instead of:
	•	“causing”
	•	“affecting badly”
	•	“holding you back”

Why?
	•	“Showing up” is neutral and non-judgmental
	•	It invites observation, not defense
	•	It lets them connect the dots between body → performance

We’re guiding them to self-discover:

“Oh yeah… this actually does affect my swing / consistency / comfort.”

That’s far more powerful than us telling them.",,2025-12-23T14:40:41.083Z
